Time,Queue Size
0.00410896,2
0.0119385,2
0.0121574,2
0.0217186,2
0.0417186,2
0.0617186,2
0.0817186,2
0.101719,2
0.121719,2
0.141719,2
0.161719,2
0.181719,2
0.201719,2
0.221719,2
0.241719,2
0.261719,2
0.281719,2
0.301719,2
0.321719,2
0.341719,2
0.361719,2
0.381719,2
0.401719,2
0.421719,2
0.441719,2
0.461719,2
0.481719,2
0.501719,2
0.521719,2
0.541719,2
0.561719,2
0.581719,2
0.601719,2
0.621719,2
0.641719,2
0.661719,2
0.681719,2
0.701719,2
0.721719,2
0.741719,2
0.761719,2
0.781719,2
0.801719,2
0.821719,2
0.841719,2
0.861719,2
0.881719,2
0.901719,2
0.921719,2
0.941719,2
0.961719,2
0.981719,2
1.00172,2
1.02172,2
1.04172,2
1.06172,2
1.08172,2
1.10172,2
1.12172,2
1.14172,2
1.16172,2
1.18172,2
1.20172,2
1.22172,2
1.24172,2
1.26172,2
1.28172,2
1.30172,2
1.32172,2
1.34172,2
1.36172,2
1.38172,2
1.40172,2
1.42172,2
1.44172,2
1.46172,2
1.48172,2
1.50172,2
1.52172,2
1.54172,2
1.56172,2
1.58172,2
1.60172,2
1.62172,2
1.64172,2
1.66172,2
1.68172,2
1.70172,2
1.72172,2
1.74172,2
1.76172,2
1.78172,2
1.80172,2
1.82172,2
1.84172,2
1.86172,2
1.88172,2
1.90172,2
1.92172,2
1.94172,2
1.96172,2
1.98172,2
2.00172,2
2.02172,2
2.04172,2
2.06172,2
2.08172,2
2.10172,2
2.12172,2
2.14172,2
2.16172,2
2.18172,2
2.20172,2
2.22172,2
2.24172,2
2.26172,2
2.28172,2
2.30172,2
2.32172,2
2.34172,2
2.36172,2
2.38172,2
2.40172,2
2.42172,2
2.44172,2
2.46172,2
2.48172,2
2.50172,2
2.52172,2
2.54172,2
2.56172,2
2.58172,2
2.60172,2
2.62172,2
2.64172,2
2.66172,2
2.68172,2
2.70172,2
2.72172,2
2.74172,2
2.76172,2
2.78172,2
2.80172,2
2.82172,2
2.84172,2
2.86172,2
2.88172,2
2.90172,2
2.92172,2
2.94172,2
2.96172,2
2.98172,2
3.00172,2
3.02172,2
3.04172,2
3.06172,2
3.08172,2
3.10172,2
3.12172,2
3.14172,2
3.16172,2
3.18172,2
3.20172,2
3.22172,2
3.24172,2
3.26172,2
3.28172,2
3.30172,2
3.32172,2
3.34172,2
3.36172,2
3.38172,2
3.40172,2
3.42172,2
3.44172,2
3.46172,2
3.48172,2
3.50172,2
3.52172,2
3.54172,2
3.56172,2
3.58172,2
3.60172,2
3.62172,2
3.64172,2
3.66172,2
3.68172,2
3.70172,2
3.72172,2
3.74172,2
3.76172,2
3.78172,2
3.80172,2
3.82172,2
3.84172,2
3.86172,2
3.88172,2
3.90172,2
3.92172,2
3.94172,2
3.96172,2
3.98172,2
4.00172,2
4.02172,2
4.04172,2
4.06172,2
4.08172,2
4.10172,2
4.12172,2
4.14172,2
4.16172,2
4.18172,2
4.20172,2
4.22172,2
4.24172,2
4.26172,2
4.28172,2
4.30172,2
4.32172,2
4.34172,2
4.36172,2
4.38172,2
4.40172,2
4.42172,2
4.44172,2
4.46172,2
4.48172,2
4.50172,2
4.52172,2
4.54172,2
4.56172,2
4.58172,2
4.60172,2
4.62172,2
4.64172,2
4.66172,2
4.68172,2
4.70172,2
4.72172,2
4.74172,2
4.76172,2
4.78172,2
4.80172,2
4.82172,2
4.84172,2
4.86172,2
4.88172,2
4.90172,2
4.92172,2
4.94172,2
4.96172,2
4.98172,2
